dir_name,img_file,bound_left,bound_top,bound_right,bound_bot,pan,roll,tilt,anger,joy,sorrow,surprise
170524_0900_101/,G0011347.jpg,1412,1346,1519,1471,24.38481330871582,-4.132620334625243,-7.0227556228637695,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
170524_0900_101/,G0011347.jpg,3035,1026,3113,1117,23.65962791442871,0.6275908350944519,4.2645230293273935,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
170524_0900_101/,G0011347.jpg,3302,1356,3408,1479,6.838257789611816,-3.355107545852661,-7.285643100738525,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
170524_0900_101/,G0011347.jpg,728,1255,846,1392,8.635165214538574,-7.463328838348389,-5.728991985321045,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
170524_0900_101/,G0011347.jpg,912,967,995,1064,13.700304985046387,-11.469924926757812,-0.7327384352684021,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
170524_0900_101/,G0011347.jpg,1137,965,1205,1044,17.367876052856445,13.77935028076172,-0.4045829176902771,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
170524_0900_101/,G0011347.jpg,2632,892,2689,959,5.573850154876709,13.34677028656006,7.218058586120605,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
170524_0900_101/,G0011347.jpg,1857,976,1924,1054,6.2949538230896,3.278432607650757,-12.293316841125488,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
170524_0900_101/,G0011347.jpg,1320,1008,1392,1092,35.11171722412109,17.937803268432614,-14.622591972351074,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
170524_0900_101/,G0011347.jpg,2067,995,2121,1058,-6.823330402374268,5.733297824859619,-9.685004234313963,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
170524_0900_101/,G0011352.jpg,1410,1348,1519,1474,24.40131378173828,-1.7414554357528689,-7.494250297546388,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
170524_0900_101/,G0011352.jpg,3304,1357,3415,1486,0.7669161558151245,-3.956907987594605,-3.41881799697876,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
170524_0900_101/,G0011352.jpg,2632,893,2688,959,7.470446586608888,13.494304656982422,8.376840591430664,Likelihood.POSSIBLE,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
170524_0900_101/,G0011352.jpg,1146,970,1211,1046,8.873661041259766,19.020244598388672,-3.033679962158203,Likelihood.VERY_UNLIKELY,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
170524_0900_101/,G0011352.jpg,3052,1054,3131,1145,23.336917877197266,2.613977670669556,-4.028942584991455,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
170524_0900_101/,G0011352.jpg,2633,1168,2723,1272,18.68385505676269,0.03734530508518219,-9.267318725585938,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
170524_0900_101/,G0011352.jpg,2984,957,3048,1031,-3.957537651062012,4.353321552276611,6.664502143859862,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
170524_0900_101/,G0011352.jpg,2690,1403,2788,1516,6.994105339050293,10.416584968566896,-16.151115417480472,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
170524_0900_101/,G0011352.jpg,1333,1031,1400,1108,40.62012481689453,35.76829147338867,-0.5162334442138672,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
170524_0900_101/,G0011357.jpg,3303,1361,3408,1483,5.400236129760742,-4.131781578063965,-3.516848087310791,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
