dir_name,img_file,bound_left,bound_top,bound_right,bound_bot,pan,roll,tilt,anger,joy,sorrow,surprise
170524_1030_101/,G0016102.jpg,2597,1524,2725,1673,14.18430995941162,-2.8396928310394287,-12.749260902404785,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
170524_1030_101/,G0016102.jpg,802,1078,894,1185,4.526586055755615,-17.246490478515625,-3.377103567123413,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
170524_1030_101/,G0016102.jpg,2603,1185,2681,1276,4.854844093322754,-17.428594589233402,-2.617892980575561,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
170524_1030_101/,G0016102.jpg,2230,956,2298,1035,15.185172080993652,-7.128275871276856,-5.67889928817749,Likelihood.POSSIBLE,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
170524_1030_101/,G0016102.jpg,1717,883,1778,955,7.1587748527526855,1.7741799354553225,-7.102110862731934,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
170524_1030_101/,G0016102.jpg,2886,1193,2972,1293,17.67055320739746,-8.92774486541748,8.506175994873049,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
170524_1030_101/,G0016102.jpg,2379,1059,2453,1145,4.608360290527344,-11.789697647094727,5.015796661376953,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
170524_1030_101/,G0016102.jpg,2384,1180,2479,1290,23.29100227355957,-3.791410207748413,-4.927237510681152,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
170524_1030_101/,G0016102.jpg,741,1316,869,1465,-3.0346143245697017,-6.570953369140625,-5.734053134918213,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
170524_1030_101/,G0016102.jpg,2959,951,3017,1019,12.923110008239744,7.645631790161133,-9.09311294555664,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
170524_1030_101/,G0016102.jpg,2465,862,2521,927,10.413249969482422,-6.280352592468263,10.21784782409668,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY
170524_1030_101/,G0016102.jpg,2802,867,2859,934,30.94167137145996,2.2500786781311035,-0.8511201739311218,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
