,dir_name,img_file,bound_left,bound_top,bound_right,bound_bot,pan,roll,tilt,anger,joy,sorrow,surprise
21225,170524_1030_101/,G0017591.jpg,372,1340,490,1476,4.2965006828308105,-20.899229049682614,-6.881396770477295,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY
21226,170524_1030_101/,G0017591.jpg,2388,1070,2461,1154,8.992972373962402,-2.586268424987793,-2.2363829612731934,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21227,170524_1030_101/,G0017591.jpg,3504,895,3565,967,1.6062160730361938,2.3027989864349365,1.2287665605545044,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21228,170524_1030_101/,G0017591.jpg,1939,1081,2007,1159,44.38161849975586,55.26120376586914,-8.850028038024902,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21229,170524_1030_101/,G0017592.jpg,1723,885,1786,958,6.240951061248777,-2.169275283813477,-1.8592822551727293,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21230,170524_1030_101/,G0017592.jpg,2873,1201,2955,1297,19.088890075683594,-1.2150131464004517,-11.25594425201416,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21231,170524_1030_101/,G0017592.jpg,2754,1586,2885,1738,31.545307159423828,12.882237434387207,-23.712875366210927,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21232,170524_1030_101/,G0017592.jpg,2215,963,2285,1045,23.09993934631348,-2.9093005657196045,-11.85900592803955,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21233,170524_1030_101/,G0017592.jpg,2388,1070,2460,1154,9.44886302947998,-2.9500386714935303,-2.0905256271362305,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21234,170524_1030_101/,G0017592.jpg,3505,905,3565,976,6.9881181716918945,5.992544651031494,2.276068210601806,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21235,170524_1030_101/,G0017592.jpg,391,1339,503,1469,27.39910697937012,-1.7325177192687988,-9.798892974853516,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21236,170524_1030_101/,G0017592.jpg,1938,1083,2006,1162,50.80945205688477,51.523170471191406,-15.064241409301758,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21237,170524_1030_101/,G0017592.jpg,2056,954,2121,1030,6.936106204986572,-3.4889795780181885,-3.200549602508545,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21238,170524_1030_101/,G0017593.jpg,2216,962,2288,1045,18.70608901977539,-5.0635809898376465,-11.24689483642578,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21239,170524_1030_101/,G0017593.jpg,2874,1201,2957,1297,26.98846435546875,0.2647267282009125,-12.86012077331543,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21240,170524_1030_101/,G0017593.jpg,2064,950,2133,1030,18.23876953125,-0.5343018174171448,1.97445285320282,Likelihood.POSSIBLE,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.UNLIKELY
21241,170524_1030_101/,G0017593.jpg,1724,886,1786,958,5.175847053527832,-1.376727819442749,1.4649344682693481,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21242,170524_1030_101/,G0017593.jpg,2385,1069,2458,1154,13.857686042785645,-3.594370126724243,-3.0809693336486816,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21243,170524_1030_101/,G0017593.jpg,393,1339,505,1471,25.532154083251953,-2.293096780776977,-10.161794662475586,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21244,170524_1030_101/,G0017593.jpg,2764,1608,2880,1744,22.80475807189941,19.863508224487305,-24.38235282897949,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21245,170524_1030_101/,G0017593.jpg,1929,1077,1994,1152,52.985267639160156,43.797813415527344,-17.784805297851562,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21246,170524_1030_101/,G0017594.jpg,2876,1196,2959,1293,25.15897560119629,3.070420265197754,-8.16389274597168,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21247,170524_1030_101/,G0017594.jpg,1724,885,1788,960,1.0415211915969849,-3.438958644866944,2.2988173961639404,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21248,170524_1030_101/,G0017594.jpg,2216,957,2287,1039,13.810073852539062,-12.63180160522461,-4.770521640777588,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21249,170524_1030_101/,G0017594.jpg,2386,1069,2459,1154,11.498255729675293,-2.9075093269348145,-2.0644781589508057,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21250,170524_1030_101/,G0017594.jpg,398,1342,508,1470,28.37591361999512,0.2963904440402985,-8.636530876159668,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21251,170524_1030_101/,G0017594.jpg,1933,1070,2000,1147,22.62930679321289,33.61181640625,-23.265714645385746,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21252,170524_1030_101/,G0017594.jpg,2060,952,2124,1027,12.445633888244627,-9.57601261138916,4.077885627746582,Likelihood.POSSIBLE,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.POSSIBLE
21253,170524_1030_101/,G0017594.jpg,2756,1596,2879,1739,30.05921173095703,23.43594169616699,-30.791677474975586,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21254,170524_1030_101/,G0017594.jpg,3502,906,3562,977,0.9597123265266418,4.614026069641113,-3.783946037292482,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21255,170524_1030_101/,G0017594.jpg,3667,988,3758,1094,1.6213438510894775,4.206362247467041,4.528370380401611,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21256,170524_1030_101/,G0017595.jpg,2201,937,2271,1017,8.120545387268066,-19.126766204833984,0.4382671117782593,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY
21257,170524_1030_101/,G0017595.jpg,1723,885,1787,959,3.249762535095215,-1.7382277250289917,1.1583786010742188,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21258,170524_1030_101/,G0017595.jpg,843,1108,941,1221,3.983089685440064,-8.696274757385254,-16.664636611938473,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21259,170524_1030_101/,G0017595.jpg,2871,1197,2951,1290,26.67128753662109,5.31246280670166,-9.843402862548828,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21260,170524_1030_101/,G0017595.jpg,393,1336,507,1468,25.51809120178223,-0.045521747320890434,-13.90805721282959,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21261,170524_1030_101/,G0017595.jpg,2385,1068,2458,1153,14.649438858032227,-1.7631006240844729,-4.529794216156006,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
21262,170524_1030_101/,G0017595.jpg,3670,990,3758,1093,-2.630638837814331,4.271669387817384,4.685532569885254,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY
