dir_name,img_file,bound_left,bound_top,bound_right,bound_bot,pan,roll,tilt,anger,joy,sorrow,surprise,label
170524_0900_101/,G0014448.jpg,2787,974,2857,1055,-11.8525972366333,4.53803300857544,6.860350131988525,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014448.jpg,3030,1042,3105,1129,17.05746841430664,-3.0233495235443115,1.213696837425232,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014448.jpg,2637,1401,2752,1534,13.161661148071287,8.88349437713623,-15.22238063812256,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014448.jpg,1886,959,1954,1038,17.098947525024414,15.915271759033205,-17.072084426879886,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014448.jpg,2577,877,2639,949,6.950728893280027,13.56376838684082,15.472551345825195,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.UNLIKELY,2
170524_0900_101/,G0014448.jpg,3004,959,3065,1029,19.46854019165039,-3.4254415035247803,8.94144344329834,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014448.jpg,1314,988,1396,1083,12.965658187866213,-5.707451343536378,1.8185948133468628,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014448.jpg,2664,1198,2745,1293,40.7518424987793,2.062131643295288,-5.355005264282227,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014448.jpg,2054,982,2111,1049,-14.090989112854006,7.0082783699035645,-3.0287024974823,Likelihood.UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,1
170524_0900_101/,G0014449.jpg,660,1215,777,1350,16.091232299804688,-9.888092041015623,-4.016138553619385,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014449.jpg,1132,967,1205,1052,1.65085768699646,-25.848529815673828,10.433417320251463,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.POSSIBLE,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014449.jpg,508,991,608,1107,-4.0942907333374015,-9.622382164001463,-10.268349647521973,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014449.jpg,893,953,985,1060,17.454635620117188,-6.357257843017577,3.5352392196655287,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014449.jpg,1935,1057,2015,1149,8.206348419189451,-2.64412522315979,9.56110668182373,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014449.jpg,3032,1042,3106,1129,14.006762504577635,-4.664761543273926,1.0439507961273191,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014449.jpg,2785,974,2849,1048,-1.3228082656860352,2.947331666946411,-2.2004880905151367,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
170524_0900_101/,G0014449.jpg,2666,1194,2754,1297,25.681758880615234,2.6513986587524414,-4.521390914916992,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,Likelihood.VERY_UNLIKELY,2
